Feriado,Data,Dia da Semana,Dias Restantes,Status
Carnaval,17/02/2026,Terça-feira,26,Em breve
Sexta-feira Santa,03/04/2026,Sexta-feira,71,Em breve
Páscoa,05/04/2026,Domingo,73,Em breve
Tiradentes,21/04/2026,Terça-feira,89,Em breve
Dia do trabalho,01/05/2026,Sexta-feira,99,Em breve
Corpus Christi,04/06/2026,Quinta-feira,133,Em breve
Independência do Brasil,07/09/2026,Segunda-feira,228,Em breve
Nossa Senhora Aparecida,12/10/2026,Segunda-feira,263,Em breve
Finados,02/11/2026,Segunda-feira,284,Em breve
Proclamação da República,15/11/2026,Domingo,297,Em breve
Dia da consciência negra,20/11/2026,Sexta-feira,302,Em breve
Natal,25/12/2026,Sexta-feira,337,Em breve
